delta,err_rpy,err_2b,err_3b
0.1,0.31873279251472747,0.21436396695659213,0.16691756908348698
0.2,0.2883195245902102,0.18558651840633605,0.13062961822179364
0.5,0.17742054451970937,0.10793575273201113,0.07211827000541479
1.0,0.07485081139510848,0.039501764500175646,0.027765777655831592
1.5,0.05220178836041348,0.030110568471921766,0.02231644481111649
2.0,0.027957024890010646,0.015039358041424372,0.012519031972703746
3.0,0.013391175314617958,0.008349946780030825,0.006955197755370478
4.0,0.005515895968987641,0.003901430187629034,0.0037954842602637125
5.0,0.003572388097227582,0.003572388097227582,0.003572388097227582
